views,uploader,county_code
576,,1001
686,1,1001
4311,1,1003
4130,,1003
164,1,1005
169,,1005
67,1,1007
62,,1007
311,1,1009
352,,1009
54,1,1011
46,,1011
115,1,1013
138,,1013
1622,1,1015
1604,,1015
444,1,1017
403,,1017
252,1,1019
266,,1019
236,1,1021
266,,1021
119,,1023
99,1,1023
45,1,1025
39,,1025
8,1,1027
13,,1027
21,1,1029
15,,1029
1109,,1031
893,1,1031
430,,1033
334,1,1033
40,1,1035
24,,1035
4,,1037
306,1,1039
289,,1039
54,,1041
36,1,1041
748,,1043
768,1,1043
796,1,1045
1070,,1045
153,1,1047
95,,1047
808,1,1049
808,,1049
913,1,1051
1080,,1051
421,1,1053
477,,1053
959,1,1055
812,,1055
69,1,1057
90,,1057
53,1,1059
51,,1059
119,,1061
166,1,1061
5,1,1063
37,1,1065
36,,1065
12,1,1067
17,,1067
2774,1,1069
2657,,1069
331,1,1071
371,,1071
20266,1,1073
14837,,1073
19,1,1075
25,,1075
880,,1077
883,1,1077
75,,1079
62,1,1079
3653,1,1081
3539,,1081
1044,1,1083
984,,1083
11,1,1085
8,,1085
168,1,1087
122,,1087
10057,1,1089
7916,,1089
71,1,1091
98,,1091
497,1,1093
426,,1093
1589,1,1095
1801,,1095
5348,1,1097
4125,,1097
320,1,1099
181,,1099
5093,1,1101
3559,,1101
1839,1,1103
1741,,1103
13,1,1105
34,,1105
34,1,1107
68,,1107
314,1,1109
379,,1109
33,1,1111
40,,1111
642,1,1113
633,,1113
874,1,1115
856,,1115
2815,1,1117
2436,,1117
49,1,1119
38,,1119
625,1,1121
665,,1121
411,,1123
466,1,1123
3365,1,1125
2896,,1125
652,1,1127
638,,1127
38,1,1129
43,,1129
13,1,1131
4,,1131
330,1,1133
349,,1133
11,1,2016
9,,2016
11405,1,2020
7740,,2020
95,1,2050
57,,2050
1,1,2060
4,,2060
29,1,2068
2,,2068
3,,2070
1847,1,2090
1313,,2090
54,1,2100
23,,2100
2290,1,2110
946,,2110
861,1,2122
488,,2122
385,1,2130
267,,2130
193,1,2150
118,,2150
2625,1,2170
2243,,2170
58,1,2180
31,,2180
77,1,2185
87,,2185
4,,2188
258,1,2220
119,,2220
76,1,2232
34,,2232
24,1,2240
16,,2240
255,1,2261
165,,2261
51,1,2280
42,,2280
304,1,4001
316,,4001
2093,1,4003
2386,,4003
3866,1,4005
2776,,4005
758,1,4007
841,,4007
290,1,4009
352,,4009
119,,4011
96,1,4011
221,1,4012
316,,4012
158226,1,4013
135233,,4013
4738,1,4015
