views,uploader,county_code
86,,1001
173,1,1001
888,1,1003
533,,1003
58,1,1005
16,,1005
2,,1007
10,1,1007
45,,1009
70,1,1009
19,1,1011
10,,1011
30,1,1013
19,,1013
339,1,1015
223,,1015
117,1,1017
58,,1017
53,1,1019
34,,1019
45,1,1021
51,,1021
18,1,1023
10,,1023
17,1,1025
10,,1025
7,1,1027
1,,1027
4,1,1029
7,,1029
265,1,1031
118,,1031
115,1,1033
47,,1033
7,1,1035
7,,1035
1,1,1037
72,1,1039
26,,1039
8,1,1041
4,,1041
212,1,1043
104,,1043
198,1,1045
111,,1045
44,1,1047
21,,1047
171,1,1049
103,,1049
222,1,1051
118,,1051
56,1,1053
40,,1053
210,1,1055
115,,1055
18,1,1057
7,,1057
10,,1059
11,1,1059
27,1,1061
62,,1061
1,,1063
4,,1065
7,1,1065
5,1,1067
5,,1067
734,1,1069
345,,1069
90,1,1071
36,,1071
1650,,1073
5119,1,1073
6,1,1075
4,,1075
208,1,1077
102,,1077
17,,1079
15,1,1079
357,,1081
1090,1,1081
306,1,1083
126,,1083
52,1,1087
15,,1087
2295,1,1089
882,,1089
17,1,1091
14,,1091
84,1,1093
59,,1093
450,1,1095
241,,1095
1289,1,1097
561,,1097
47,1,1099
67,,1099
1190,1,1101
473,,1101
544,1,1103
209,,1103
7,1,1105
11,1,1107
9,,1107
26,,1109
84,1,1109
11,1,1111
4,,1111
166,1,1113
67,,1113
104,1,1115
114,,1115
649,1,1117
312,,1117
19,1,1119
124,1,1121
65,,1121
102,1,1123
63,,1123
1005,1,1125
361,,1125
160,1,1127
93,,1127
7,1,1129
9,,1129
1,,1131
39,,1133
52,1,1133
4,1,2016
2,,2016
2614,1,2020
743,,2020
3,,2050
33,1,2050
14,1,2068
3,,2068
155,,2090
419,1,2090
1,,2100
7,1,2100
116,,2110
506,1,2110
198,1,2122
50,,2122
124,1,2130
32,,2130
20,,2150
79,1,2150
265,,2170
604,1,2170
9,1,2180
4,,2180
9,,2185
10,1,2185
62,1,2220
28,,2220
34,1,2232
4,,2232
6,1,2240
2,,2240
18,,2261
58,1,2261
19,1,2280
6,,2280
103,1,4001
22,,4001
570,1,4003
190,,4003
1152,1,4005
224,,4005
188,1,4007
74,,4007
21,,4009
122,1,4009
44,1,4011
10,,4011
64,1,4012
18,,4012
13423,,4013
35295,1,4013
469,,4015
1017,1,4015
505,1,4017
171,,4017
8158,1,4019
2391,,4019
1089,1,4021
479,,4021
179,1,4023
61,,4023
1403,1,4025
398,,4025
600,1,4027
333,,4027
9,1,5001
9,,5001
16,1,5003
8,,5003
389,1,5005
196,,5005
544,,5007
1098,1,5007
65,,5009
106,1,5009
4,1,5011
6,,5011
6,1,5013
1,,5013
109,1,5015
41,,5015
10,,5017
11,1,5017
71,1,5019
21,,5019
11,,5021
8,1,5021
52,1,5023
45,,5023
50,1,5027
188,,5027
14,1,5029
9,,5029
270,,5031
682,1,5031
124,1,5033
78,,5033
38,,5035
58,1,5035
31,1,5037
11,,5037
4,1,5039
9,,5041
12,1,5041
51,1,5043
18,,5043
579,1,5045
325,,5045
102,1,5047
49,,5047
22,1,5049
9,,5049
478,1,5051
241,,5051
75,,5053
108,1,5053
92,1,5055
27,,5055
18,1,5057
13,,5057
20,,5059
33,1,5059
4,1,5061
5,,5061
67,1,5063
18,,5063
1,1,5065
2,,5065
34,1,5067
