views,uploader,county_code
134,,1001
287,1,1001
1592,1,1003
840,,1003
67,1,1005
55,,1005
16,1,1007
13,,1007
115,1,1009
83,,1009
15,1,1011
13,,1011
21,,1013
38,1,1013
666,1,1015
400,,1015
175,1,1017
96,,1017
79,1,1019
114,,1019
67,1,1021
68,,1021
32,1,1023
19,,1023
35,1,1025
10,,1025
12,1,1027
4,,1027
10,,1029
7,1,1029
347,1,1031
236,,1031
189,1,1033
76,,1033
11,1,1035
11,,1035
1,1,1037
2,,1037
108,1,1039
59,,1039
14,,1041
15,1,1041
314,1,1043
208,,1043
229,,1045
278,1,1045
62,1,1047
41,,1047
278,1,1049
224,,1049
260,,1051
376,1,1051
80,1,1053
90,,1053
201,,1055
344,1,1055
23,1,1057
17,,1057
18,1,1059
21,,1059
34,1,1061
23,,1061
1,1,1063
2,,1063
23,1,1065
9,,1065
8,,1067
4,1,1067
1082,1,1069
529,,1069
136,1,1071
78,,1071
8781,1,1073
2874,,1073
13,1,1075
13,,1075
364,1,1077
172,,1077
34,1,1079
29,,1079
1998,1,1081
662,,1081
346,1,1083
197,,1083
2,,1085
1,1,1085
28,,1087
72,1,1087
1510,,1089
4238,1,1089
34,1,1091
19,,1091
120,1,1093
106,,1093
605,1,1095
393,,1095
855,,1097
1955,1,1097
74,1,1099
60,,1099
2024,1,1101
866,,1101
793,1,1103
396,,1103
13,1,1105
2,,1105
15,1,1107
7,,1107
115,1,1109
67,,1109
21,1,1111
14,,1111
232,1,1113
134,,1113
121,,1115
230,1,1115
1190,1,1117
486,,1117
29,1,1119
6,,1119
246,1,1121
162,,1121
151,1,1123
123,,1123
1851,1,1125
627,,1125
243,1,1127
137,,1127
13,,1129
15,1,1129
4,1,1131
2,,1131
73,,1133
103,1,1133
16,1,2016
5,,2016
1489,,2020
6567,1,2020
56,1,2050
7,,2050
32,1,2068
4,,2068
304,,2090
1059,1,2090
35,1,2100
1834,1,2110
296,,2110
130,,2122
541,1,2122
218,1,2130
42,,2130
188,1,2150
28,,2150
1200,1,2170
484,,2170
20,1,2180
5,,2180
46,1,2185
16,,2185
4,1,2188
184,1,2220
36,,2220
12,,2232
108,1,2232
9,,2240
17,1,2240
136,1,2261
40,,2261
60,1,2280
14,,2280
160,1,4001
35,,4001
898,1,4003
312,,4003
518,,4005
2451,1,4005
304,1,4007
120,,4007
133,1,4009
45,,4009
32,1,4011
15,,4011
76,1,4012
37,,4012
67332,1,4013
21942,,4013
921,,4015
1494,1,4015
692,1,4017
316,,4017
16328,1,4019
4489,,4019
1954,1,4021
823,,4021
230,1,4023
116,,4023
3066,1,4025
1072,,4025
859,1,4027
518,,4027
39,1,5001
16,,5001
19,1,5003
10,,5003
678,1,5005
302,,5005
2303,1,5007
842,,5007
223,1,5009
113,,5009
6,1,5011
5,,5011
10,1,5013
3,,5013
216,1,5015
62,,5015
13,1,5017
13,,5017
168,1,5019
39,,5019
33,1,5021
24,,5021
81,1,5023
58,,5023
87,,5027
85,1,5027
32,1,5029
18,,5029
1265,1,5031
451,,5031
273,1,5033
160,,5033
47,,5035
107,1,5035
56,1,5037
9,,5037
7,1,5039
8,,5039
14,,5041
13,1,5041
68,1,5043
32,,5043
1281,1,5045
468,,5045
175,1,5047
80,,5047
33,1,5049
9,,5049
907,1,5051
346,,5051
195,1,5053
127,,5053
60,,5055
153,1,5055
33,1,5057
26,,5057
35,,5059
51,1,5059
7,1,5061
3,,5061
151,1,5063
51,,5063
9,1,5065
7,,5065
40,1,5067
20,,5067
211,1,5069
101,,5069
102,1,5071
59,,5071
12,1,5075
17,,5075
1,,5077
2,1,5079
2,,5079
34,1,5081
11,,5081
63,1,5083
40,,5083
276,,5085
551,1,5085
40,1,5087
16,,5087
17,,5089
66,1,5089
119,1,5091
88,,5091
120,1,5093
65,,5093
6,,5095
3,1,5097
1,,5099
2,1,5099
99,1,5101
40,,5101
85,1,5103
26,,5103
18,1,5105
3,,5105
42,1,5107
29,,5107
16,1,5109
8,,5109
59,1,5111
55,,5111
24,1,5113
21,,5113
556,1,5115
222,,5115
4254,1,5119
1481,,5119
30,1,5121
10,,5121
26,1,5123
21,,5123
197,,5125
418,1,5125
9,1,5127
5,,5127
4,1,5129
3,,5129
981,1,5131
453,,5131
94,1,5133
83,,5133
14,1,5135
8,,5135
96,1,5137
58,,5137
73,,5139
176,1,5139
65,1,5141
35,,5141
3442,1,5143
942,,5143
177,,5145
292,1,5145
73,1,5149
28,,5149
6415,,6001
32562,1,6001
92,1,6005
27,,6005
2340,1,6007
751,,6007
641,1,6009
290,,6009
148,1,6011
71,,6011
15801,1,6013
3802,,6013
355,1,6015
121,,6015
942,,6017
2981,1,6017
6223,1,6019
2855,,6019
87,1,6021
60,,6021
8021,1,6023
1982,,6023
1044,1,6025
689,,6025
228,1,6027
84,,6027
3386,,6029
8112,1,6029
342,,6031
481,1,6031
595,1,6033
181,,6033
404,1,6035
178,,6035
217519,1,6037
55829,,6037
960,1,6039
422,,6039
7992,1,6041
1239,,6041
1668,1,6043
617,,6043
1633,1,6045
338,,6045
829,,6047
1537,1,6047
843,1,6049
191,,6049
285,1,6051
27,,6051
3960,1,6053
1286,,6053
2163,1,6055
413,,6055
1858,1,6057
353,,6057
41631,1,6059
15209,,6059
5637,1,6061
1913,,6061
43,,6063
174,1,6063
30256,1,6065
11878,,6065
21284,1,6067
6279,,6067
541,1,6069
178,,6069
21562,1,6071
9031,,6071
80559,1,6073
23677,,6073
164412,1,6075
26716,,6075
4381,1,6077
2027,,6077
1492,,6079
6041,1,6079
16338,1,6081
3394,,6081
8663,1,6083
1856,,6083
41619,1,6085
10110,,6085
6415,1,6087
1107,,6087
1774,1,6089
729,,6089
103,,6093
361,1,6093
1128,,6095
3333,1,6095
9051,1,6097
1692,,6097
3760,1,6099
2316,,6099
1171,1,6101
390,,6101
389,1,6103
196,,6103
111,1,6105
16,,6105
1056,,6107
2111,1,6107
416,1,6109
115,,6109
10906,1,6111
3427,,6111
7643,1,6113
1815,,6113
260,1,6115
103,,6115
2840,1,8001
1346,,8001
149,1,8003
61,,8003
8676,1,8005
3610,,8005
284,1,8007
82,,8007
33,1,8011
35,,8011
9540,1,8013
1899,,8013
1272,1,8014
378,,8014
304,1,8015
64,,8015
2,,8017
1,1,8017
19,1,8019
5,,8019
9,,8021
35,1,8021
2,,8025
102,1,8027
30,,8027
271,1,8029
95,,8029
30347,1,8031
8669,,8031
4341,1,8035
1605,,8035
945,1,8037
256,,8037
88,1,8039
18,,8039
7730,1,8041
3622,,8041
96,1,8043
20,,8043
187,,8045
513,1,8045
13,,8047
49,1,8047
200,1,8049
47,,8049
254,1,8051
33,,8051
16,1,8053
10,,8053
14,,8055
25,1,8055
8596,1,8059
2794,,8059
33,1,8063
17,,8063
116,1,8065
64,,8065
1172,1,8067
237,,8067
5133,1,8069
1622,,8069
41,1,8071
18,,8071
9,,8073
34,1,8073
73,1,8075
62,,8075
1577,1,8077
736,,8077
3,1,8079
1,,8079
84,1,8081
86,,8081
167,1,8083
61,,8083
213,,8085
403,1,8085
375,1,8087
317,,8087
124,1,8089
130,,8089
38,1,8091
5,,8091
35,1,8093
5,,8093
19,,8095
20,1,8095
610,1,8097
88,,8097
108,1,8099
69,,8099
417,,8101
846,1,8101
54,,8103
20,1,8103
47,1,8105
17,,8105
328,1,8107
56,,8107
57,1,8109
18,,8109
159,1,8113
33,,8113
3,1,8115
3,,8115
157,,8117
522,1,8117
246,1,8119
102,,8119
2340,1,8123
1184,,8123
1,,8125
23435,1,9001
6401,,9001
13382,1,9003
3792,,9003
1224,,9005
3829,1,9005
2548,1,9007
607,,9007
3931,,9009
15379,1,9009
3971,1,9011
1096,,9011
2845,1,9013
931,,9013
457,,9015
1446,1,9015
985,1,10001
435,,10001
8716,1,10003
3469,,10003
2004,1,10005
614,,10005
6747,1,12001
2688,,12001
86,1,12003
82,,12003
1661,1,12005
1033,,12005
64,1,12007
69,,12007
7478,1,12009
4402,,12009
17901,1,12011
10879,,12011
139,1,12013
101,,12013
1130,1,12015
696,,12015
1387,1,12017
889,,12017
954,1,12019
592,,12019
3027,1,12021
2255,,12021
208,1,12023
196,,12023
106,1,12027
71,,12027
53,1,12029
36,,12029
7479,1,12031
4318,,12031
2893,1,12033
2013,,12033
1507,1,12035
1138,,12035
115,1,12037
61,,12037
290,1,12039
126,,12039
8,,12041
25,1,12041
3,,12043
5,1,12043
36,1,12045
15,,12045
5,1,12047
2,,12047
102,1,12049
75,,12049
134,1,12051
126,,12051
1899,1,12053
1312,,12053
400,1,12055
284,,12055
21868,1,12057
11533,,12057
33,1,12059
46,,12059
931,1,12061
519,,12061
73,,12063
82,1,12063
16,1,12065
2,,12065
1,,12067
4332,1,12069
2894,,12069
7877,1,12071
4848,,12071
5794,1,12073
1784,,12073
55,,12075
76,1,12075
4,,12077
2,1,12077
34,1,12079
9,,12079
2436,,12081
4553,1,12081
1831,,12083
2777,1,12083
1023,1,12085
600,,12085
40993,1,12086
27800,,12086
916,1,12087
395,,12087
386,1,12089
186,,12089
2104,1,12091
1361,,12091
128,1,12093
75,,12093
20444,,12095
37550,1,12095
4048,1,12097
3485,,12097
13147,1,12099
7272,,12099
5525,1,12101
3504,,12101
17138,1,12103
7379,,12103
7162,1,12105
5120,,12105
217,1,12107
197,,12107
3267,1,12109
1709,,12109
4671,1,12111
3305,,12111
2887,1,12113
1865,,12113
3441,,12115
8047,1,12115
4646,,12117
8769,1,12117
1333,1,12119
785,,12119
167,1,12121
122,,12121
75,,12123
81,1,12123
441,,12125
803,1,12125
6863,1,12127
3729,,12127
111,1,12129
78,,12129
499,1,12131
318,,12131
59,1,12133
53,,12133
39,1,13001
32,,13001
28,1,13003
27,,13003
50,,13005
42,1,13005
546,1,13009
250,,13009
42,1,13011
19,,13011
470,1,13013
335,,13013
440,1,13015
273,,13015
105,1,13017
68,,13017
28,1,13019
11,,13019
1055,1,13021
453,,13021
39,1,13023
19,,13023
37,1,13025
21,,13025
11,,13027
8,1,13027
239,1,13029
117,,13029
834,1,13031
327,,13031
6,,13033
20,1,13033
58,1,13035
63,,13035
186,,13039
373,1,13039
51,1,13043
29,,13043
798,1,13045
378,,13045
379,1,13047
202,,13047
6,1,13049
22,,13049
2669,1,13051
822,,13051
152,1,13053
61,,13053
77,1,13055
62,,13055
2392,1,13057
902,,13057
4107,1,13059
931,,13059
756,1,13063
457,,13063
7,,13065
1,1,13065
7485,1,13067
2524,,13067
161,,13069
207,1,13069
120,,13071
180,1,13071
444,,13073
997,1,13073
23,1,13075
33,,13075
860,1,13077
478,,13077
10,1,13079
6,,13079
64,1,13081
44,,13081
90,1,13083
39,,13083
105,,13085
243,1,13085
109,1,13087
33,,13087
8191,1,13089
1767,,13089
18,1,13091
15,,13091
10,,13093
20,1,13093
725,1,13095
390,,13095
628,1,13097
253,,13097
5,,13099
6,1,13099
166,1,13103
95,,13103
42,1,13105
26,,13105
42,,13107
49,1,13107
6,1,13109
3,,13109
357,1,13111
114,,13111
1370,1,13113
494,,13113
256,,13115
449,1,13115
1263,1,13117
620,,13117
85,1,13119
56,,13119
18189,,13121
61673,1,13121
289,1,13123
135,,13123
1,,13125
454,1,13127
197,,13127
260,1,13129
183,,13129
30,,13131
52,1,13131
128,1,13133
61,,13133
7782,1,13135
3538,,13135
107,1,13137
73,,13137
1406,1,13139
753,,13139
1,,13141
63,1,13143
38,,13143
43,1,13145
17,,13145
149,1,13147
87,,13147
6,,13149
14,1,13149
1365,1,13151
908,,13151
1236,1,13153
718,,13153
3,,13155
1,1,13155
784,1,13157
448,,13157
23,1,13159
15,,13159
15,1,13161
22,,13161
11,1,13163
15,,13163
2,1,13165
3,,13165
13,1,13167
3,,13167
160,1,13169
110,,13169
49,1,13171
19,,13171
11,1,13173
6,,13173
134,1,13175
99,,13175
28,1,13177
13,,13177
303,1,13179
146,,13179
20,1,13181
17,,13181
3,1,13183
553,1,13185
295,,13185
1228,1,13187
640,,13187
41,1,13189
19,,13189
21,,13191
35,1,13191
4,1,13193
8,,13193
22,1,13195
13,,13195
14,1,13197
7,,13197
14,,13199
11,1,13199
14,1,13201
5,,13201
30,1,13205
16,,13205
75,1,13207
41,,13207
49,1,13211
33,,13211
150,1,13213
108,,13213
1688,1,13215
796,,13215
524,1,13217
290,,13217
130,1,13219
32,,13219
1,1,13221
7,,13221
292,1,13223
138,,13223
108,1,13225
73,,13225
235,1,13227
127,,13227
23,,13229
51,1,13229
13,,13231
16,1,13231
185,1,13233
110,,13233
23,1,13235
14,,13235
20,1,13237
12,,13237
24,1,13239
8,,13239
25,1,13241
31,,13241
8,1,13243
6,,13243
1225,1,13245
569,,13245
392,1,13247
186,,13247
2,1,13249
3,,13249
37,1,13251
29,,13251
10,1,13253
13,,13253
199,1,13255
125,,13255
23,,13257
53,1,13257
3,1,13259
1,,13259
75,1,13261
30,,13261
44,1,13267
22,,13267
12,1,13269
24,,13269
3,1,13271
7,,13271
3,1,13273
2,,13273
327,1,13275
160,,13275
183,1,13277
184,,13277
91,1,13279
49,,13279
100,1,13281
36,,13281
5,,13283
10,1,13283
359,1,13285
189,,13285
6,1,13287
8,1,13289
83,1,13291
16,,13291
103,,13293
190,1,13293
216,1,13295
112,,13295
340,1,13297
243,,13297
89,,13299
153,1,13299
6,1,13301
2,,13301
19,1,13303
4,,13303
59,1,13305
28,,13305
1,1,13309
1,,13309
223,1,13311
108,,13311
691,,13313
1096,1,13313
1,1,13315
37,1,13317
24,,13317
2,,13321
5,1,13321
2467,1,15001
634,,15001
11787,1,15003
3828,,15003
1016,1,15007
210,,15007
660,,15009
2531,1,15009
11624,1,16001
2927,,16001
1,1,16003
1,,16003
773,1,16005
204,,16005
24,1,16007
4,,16007
23,1,16009
13,,16009
153,1,16011
67,,16011
516,1,16013
83,,16013
3,1,16015
1,,16015
256,1,16017
75,,16017
868,1,16019
304,,16019
29,1,16021
28,,16021
9,1,16023
11,,16023
1738,1,16027
706,,16027
18,1,16029
10,,16029
57,1,16031
24,,16031
15,1,16035
14,,16035
10,,16037
59,1,16037
84,1,16039
40,,16039
51,1,16041
36,,16041
71,1,16043
30,,16043
66,1,16045
24,,16045
15,1,16047
10,,16047
3,,16049
23,1,16049
74,1,16051
37,,16051
76,1,16053
37,,16053
2151,1,16055
814,,16055
963,1,16057
205,,16057
39,1,16059
4,,16059
1,1,16061
1,,16061
481,1,16065
239,,16065
71,1,16067
57,,16067
558,1,16069
173,,16069
14,,16071
19,1,16071
71,1,16073
48,,16073
104,1,16075
62,,16075
1,,16077
11,1,16077
51,1,16079
14,,16079
314,1,16081
43,,16081
490,1,16083
232,,16083
62,,16085
282,1,16085
32,1,16087
11,,16087
420,1,17001
179,,17001
1,,17003
34,1,17005
12,,17005
434,1,17007
151,,17007
97,,17009
342,1,17009
95,1,17011
19,,17011
66,1,17015
34,,17015
69,1,17017
39,,17017
4632,1,17019
1159,,17019
128,1,17021
46,,17021
23,1,17023
8,,17023
39,1,17025
31,,17025
46,1,17027
26,,17027
316,,17029
996,1,17029
144500,1,17031
44047,,17031
8,1,17033
9,,17033
18,1,17035
6,,17035
2678,1,17037
805,,17037
151,1,17039
77,,17039
47,1,17041
29,,17041
13163,1,17043
4309,,17043
90,1,17045
85,,17045
403,,17047
945,1,17047
71,,17049
162,1,17049
40,1,17051
13,,17051
33,1,17053
7,,17053
120,1,17055
27,,17055
51,1,17057
16,,17057
24,,17061
37,1,17061
343,1,17063
154,,17063
15,,17065
26,1,17065
21,1,17067
12,,17067
6,1,17069
3,,17069
1,1,17071
290,1,17073
112,,17073
39,1,17075
10,,17075
751,1,17077
248,,17077
10,1,17079
8,,17079
213,1,17081
95,,17081
133,1,17083
34,,17083
195,1,17085
46,,17085
2,1,17087
2,,17087
5703,1,17089
1941,,17089
456,1,17091
225,,17091
671,1,17093
209,,17093
442,1,17095
173,,17095
9023,1,17097
2556,,17097
551,1,17099
272,,17099
27,1,17101
22,,17101
112,,17103
231,1,17103
103,1,17105
61,,17105
667,1,17107
425,,17107
344,1,17109
137,,17109
2994,1,17111
1225,,17111
1032,,17113
3452,1,17113
559,1,17115
200,,17115
341,1,17117
97,,17117
996,,17119
3077,1,17119
144,1,17121
69,,17121
2,,17123
6,1,17123
48,1,17125
22,,17125
20,1,17127
8,,17127
20,1,17129
8,,17129
