"county_code","date_id","Clinton","Trump","Stein","Johnson"
1001,1015,3.12,5.94,0.12,0.57
1003,1015,4.78,8.42,0.39,0.62
1005,1015,3.37,6.10,0.25,0.38
1007,1015,3.48,5.35,0.08,0.68
1009,1015,3.91,7.15,0.29,0.63
1011,1015,1.25,10.19,0.00,0.21
1013,1015,3.52,4.51,0.38,0.46
1015,1015,4.33,6.77,0.20,0.72
1017,1015,3.30,4.38,0.13,0.35
1019,1015,3.54,10.78,0.11,0.38
1021,1015,3.67,6.82,0.07,0.26
1023,1015,2.92,6.11,0.28,0.14
1025,1015,2.79,6.84,0.27,0.27
1027,1015,2.26,4.36,0.16,0.48
1029,1015,6.30,5.01,0.16,0.48
1031,1015,3.53,6.55,0.25,0.52
1033,1015,3.89,7.07,0.29,0.94
1035,1015,2.50,7.02,0.16,0.62
1037,1015,5.96,6.68,0.00,0.21
1039,1015,2.89,5.98,0.16,0.51
1041,1015,1.79,3.70,0.00,0.51
1043,1015,4.48,6.69,0.20,0.87
1045,1015,4.53,7.58,0.25,0.72
1047,1015,3.07,6.94,0.04,0.18
1049,1015,5.05,8.36,0.38,1.17
1051,1015,3.33,5.86,0.11,0.48
1053,1015,3.33,9.52,0.40,0.73
1055,1015,3.62,7.34,0.10,0.53
1057,1015,3.65,4.98,0.17,0.00
1059,1015,3.67,6.16,0.07,0.48
1061,1015,2.71,5.34,0.15,0.59
1063,1015,2.13,4.26,0.00,0.30
1065,1015,3.54,6.80,0.14,0.14
1067,1015,4.14,6.50,0.24,0.24
1069,1015,3.89,8.35,0.35,0.59
1071,1015,3.43,6.10,0.18,0.27
1073,1015,3.73,7.79,0.18,0.62
1075,1015,2.87,8.40,0.00,0.41
1077,1015,4.66,7.64,0.27,0.59
1079,1015,4.29,5.50,0.14,0.23
1081,1015,3.59,7.34,0.18,0.86
1083,1015,3.70,6.51,0.17,0.55
1085,1015,2.00,6.44,0.00,0.29
1087,1015,4.27,8.18,0.26,0.82
1089,1015,4.20,7.24,0.25,0.74
1091,1015,2.23,5.20,0.00,0.37
1093,1015,3.52,6.79,0.10,0.44
1095,1015,3.83,6.52,0.12,0.77
1097,1015,3.74,7.37,0.17,0.48
1099,1015,3.28,4.85,0.61,0.20
1101,1015,2.91,6.34,0.14,0.43
1103,1015,3.59,7.44,0.17,0.55
1105,1015,2.23,6.09,0.00,0.41
1107,1015,4.07,4.65,0.23,0.12
1109,1015,4.29,7.03,0.18,0.61
1111,1015,5.93,6.09,0.25,0.50
1113,1015,3.21,5.06,0.11,0.45
1115,1015,3.23,8.04,0.12,0.58
1117,1015,4.22,7.83,0.24,0.80
1119,1015,2.14,4.16,0.25,0.50
1121,1015,2.69,5.09,0.15,0.26
1123,1015,3.64,6.59,0.11,0.18
1125,1015,3.88,7.08,0.23,0.71
1127,1015,3.98,7.32,0.20,0.47
1129,1015,2.42,4.46,0.00,0.26
1131,1015,1.56,4.94,0.00,1.04
1133,1015,4.01,5.94,0.00,0.50
2013,1015,0.00,0.00,0.00,0.00
2016,1015,3.62,5.61,0.36,0.72
2020,1015,3.26,5.88,0.32,0.93
2050,1015,2.77,5.67,0.13,0.38
2060,1015,0.00,0.00,0.00,0.00
2068,1015,2.69,4.93,1.35,2.24
2070,1015,0.00,0.00,0.00,0.00
2090,1015,3.22,6.35,0.23,0.92
2100,1015,3.03,10.61,0.00,1.52
2110,1015,3.48,5.93,0.48,0.77
2122,1015,2.47,6.13,0.32,0.93
2130,1015,0.00,0.00,0.00,0.00
2150,1015,3.97,7.02,0.08,1.94
2164,1015,0.00,0.00,0.00,0.00
2170,1015,3.63,7.20,0.35,1.48
2180,1015,3.09,6.19,0.34,0.69
2185,1015,2.44,9.21,0.00,0.27
2188,1015,6.86,7.84,0.00,0.98
2201,1015,2.97,5.06,0.55,0.77
2220,1015,3.02,6.60,0.46,0.55
2232,1015,1.71,7.69,0.00,0.00
2240,1015,2.67,2.67,0.00,0.38
2261,1015,3.16,5.20,0.45,0.56
2270,1015,0.00,0.00,0.00,0.00
2280,1015,5.01,6.13,0.00,1.39
2282,1015,0.00,0.00,0.00,0.00
2290,1015,2.78,4.36,0.19,0.63
4001,1015,3.12,6.10,0.22,0.45
4003,1015,3.34,5.70,0.16,0.98
4005,1015,2.80,6.25,0.34,0.68
4007,1015,3.62,6.14,0.20,0.46
4009,1015,2.33,4.63,0.19,0.30
4011,1015,3.61,8.82,0.00,0.72
4012,1015,2.33,6.42,0.14,0.07
4013,1015,3.60,7.17,0.22,0.61
4015,1015,3.59,5.81,0.23,0.50
4017,1015,3.98,5.97,0.20,0.72
4019,1015,3.83,7.38,0.31,0.63
4021,1015,3.70,6.33,0.21,0.56
4023,1015,2.57,6.09,0.22,0.37
4025,1015,4.54,7.35,0.34,0.76
4027,1015,2.97,5.73,0.16,0.38
5001,1015,2.63,7.02,0.09,0.70
5003,1015,2.37,5.11,0.19,0.85
5005,1015,4.03,7.18,0.20,0.45
5007,1015,3.34,6.38,0.22,0.66
5009,1015,4.23,7.01,0.19,0.89
5011,1015,3.51,4.24,0.00,0.55
5013,1015,5.56,9.09,0.00,0.51
5015,1015,4.15,9.32,0.20,0.46
5017,1015,1.79,4.35,0.00,0.00
5019,1015,3.99,7.58,0.31,0.40
5021,1015,6.35,10.42,0.51,0.51
5023,1015,3.98,9.18,0.26,0.90
5025,1015,3.93,3.93,0.00,0.00
5027,1015,3.12,4.88,0.42,0.94
5029,1015,3.78,5.92,0.60,0.69
5031,1015,4.31,7.49,0.26,0.60
5033,1015,3.60,6.40,0.35,0.86
5035,1015,3.16,5.28,0.14,0.27
5037,1015,3.89,5.39,0.10,0.10
5039,1015,3.48,6.97,0.00,0.00
5041,1015,1.09,3.99,0.00,0.00
5043,1015,1.78,5.93,0.13,0.59
5045,1015,4.07,6.91,0.18,0.65
5047,1015,4.43,5.13,0.21,0.37
5049,1015,6.82,7.23,0.21,0.21
5051,1015,4.12,8.13,0.34,0.87
5053,1015,4.97,7.10,0.12,0.58
5055,1015,3.69,6.57,0.17,0.41
5057,1015,2.93,5.85,0.00,0.37
5059,1015,3.83,5.57,0.10,0.30
5061,1015,3.32,6.50,0.14,0.58
5063,1015,3.84,5.68,0.23,0.52
5065,1015,6.11,10.86,0.23,0.68
5067,1015,4.91,9.93,0.12,0.35
5069,1015,2.82,6.13,0.08,0.19
5071,1015,3.01,5.36,0.11,0.22
5073,1015,4.32,5.45,0.68,2.50
5075,1015,3.11,4.60,0.00,0.12
5077,1015,0.85,3.40,0.00,0.85
5079,1015,2.85,7.21,0.00,0.38
