"external_video_id","video_shortened_id","title"
"0Ii8d7TZ8u4",3170,"Two Americas Economy"
"0uY7gLZDmn4",1857,"Getting Started"
"111MTs7MGuw",2604,"Real Life | Hillary Clinton"
"1iDRu2q2cRw",989,"All The Good SC | Hillary Clinton"
"1KI_DorjrpE",2346,"Mean Tweets, Campaign Edition with Senator Al Franken | Hillary Clinton"
"2GHBBUrWpf4",1570,"FORMER STUDENTS SPEAK OUT IN SUPPORT OF TRUMP UNIVERSITY"
"2HkCYLcDB5I",2702,"Secretary Hillary Clinton's Opening Statement from the First Democratic Debate | Hillary Clinton"
"3FITPKRwaVw",1256,"Creator Town Hall with Hillary Clinton | Hillary Clinton"
"4q2oLn8Bmfo",1561,"Everything | Hillary Clinton"
"6-FUfMRgbWU",2083,"I Love War"
"7-9LS4KXtEg",2324,"Make a Difference | Hillary Clinton"
"75x6nb5NqYM",1910,"Have you ever won a drinking competition? | Quick Question | Hillary Clinton"
"8QFSXdvHD14",2451,"Olivia | Hillary Clinton"
"9QUYQUd0Qh8",1874,"Grace"
"9t54Ly_mvuk",2614,"Rebuilding America Now New TV Ad: Hillary Clinton: More of the Same"
"a3XBHMGctN0",3136,"Trump's America"
"axN-hs4slpY",1127,"Brave | Hillary Clinton"
"b-dwobZGirc",2053,"History Made | Hillary Clinton"
"BEBkURWBnqg",2528,"Pledge"
"BFNC5Alx8u8",958,"A Leader"
"BFNoxOD1JwI",3145,"Trump-Pence Ticket - Together we will Make America Great Again!"
"CA5ZhyoaJec",2838,"Stronger Together | Hillary Clinton"
"CQt4KxUmnzw",1974,"Hillary Clinton speech in San Diego, CA on June 2, 2016 | Hillary Clinton"
"DsMXoW_qXco",1311,"Danger"
"erVHi4_DKQM",1174,"Careless. Reckless. Crooked. | Donald J. Trump for President"
"f61Ydggf490",3213,"Vet Jobs America First"
"F7ev_bMpE_0",1443,"Donald Trump and Mike Pence's Very Awkward First Interview"
"fBe2lj88N34",2400,"My Dad - Donald J. Trump Jr."
"fcqx1CGex1A",2920,"The Enemy"
"fxDAyUiXphg",1403,"Donald Trump ALS Ice Bucket Challenge"
"GHp69F7vrLU",2303,"Love and Kindness | Hillary Clinton"
"gOK4i35BcXA",2617,"Rebuilding America Now: It Takes Two"
"gq-i8fTlExs",1219,"Clear Difference"
"GsxbCplcfHI",1210,"Children | Hillary Clinton"
"hqT2Pxn3bv8",3001,"The Speech"
"hYl69PAeN-4",2800,"Stand | Hillary Clinton"
"IkeLYDZdPSc",2634,"Respect"
"JekzM26TF3Q",2787,"Speak"
"Jh4ozFGR4uQ",1376,"Donald J. Trump Is The Only President Who Can Fix America"
"k0J_EKmvYZk",918,"#HEARTLAND4TRUMP"
"k6vMGqX58Ww",1396,"Donald Trump ""Respects"" Women..."
"lY3Z0drr_HM",1890,"Greater Women"
"l_GYGsIpP54",1588,"Fighter"
"mhAavbxpjok",3169,"Two Americas"
"mrX3Ql31URA",2650,"Role Models | Hillary Clinton"
"NdKsA4q-FFA",1584,"Family Strong"
"oeYKFRV34kY",1246,"Confessions of a Republican | Hillary Clinton"
"OgNP3g1Lwss",1056,"Behind the scenes look backstage at the Democratic Convention in Philadelphia | Hillary Clinton"
"pQQy1bMchSc",1171,"Can you tell us a fun story about a world leader you've met? | Quick Question | Hillary Clinton"
"PQTIb0QaDPc",2355,"Michelle"
"QfwhI5N95y8",1592,"Fighting For You | Hillary Clinton"
"QqfsbQGPLAE",3115,"Trump University Truth"
"q_q61B-DyPk",1427,"Donald Trump Presidential Announcement Full Speech 6/16/15"
"S9W0F2mz1jc",2539,"President Barack Obama endorses Hillary Clinton for president | Hillary Clinton"
"sEqiNIPIPPQ",2675,"Sacrifice | Hillary Clinton"
"sQ7543nJngk",2037,"Hillary's Message to Survivors of Sexual Assault | Hillary Clinton"
"thi56OCkduA",2068,"How to Caucus Iowa"
"tYTuyKo3WTM",2913,"The Difference TV ad"
"UbEalLMQvOw",2098,"I'm With Him | Hillary Clinton"
"UZq3iCn2y74",494,"Mr. Trump's 757"
"vHGPbl-werw",2381,"Mirrors | Hillary Clinton"
"VkLRSs2cNxQ",1544,"Energy Revolution"
"V_eTKSzoAUY",2148,"Is This Who We Want?"
"WYBJZIfZYq8",2474,"Outsourcing"
"xbqw-yCdhNM",1324,"Dear Donald Trump | Hillary Clinton"
"XJPxtcx4dyo",1019,"America Will Win Again! | Donald J. Trump for President"
"XuVLkFyWtUo",3049,"Transcripts"
"Y7ys8bmTf5U",2405,"My Temperament"
"Z8cD-PbnxVE",2202,"Janelle | Hillary Clinton"
"ze1CSU9A2mI",2668,"Rubio On Repeat"
"_Otk1FRbNR8",2164,"Ivanka Trump - Find Your Iowa Caucus Location"
"_soeyHVrawY",1976,"Hillary Clinton speech on how Donald Trump’s campaign has mainstreamed the ""Alt-Right"" hate movement"
