"date_id","agg_views","video_shortened_id","candidate"
20160101,18471,1553,"Trump"
20160101,12135,2106,"Clinton"
20160101,13814,1573,"Trump"
20160101,59199,681,"Trump"
20160101,4937,2259,"Clinton"
20160101,6555,1294,"Clinton"
20160102,6831,1294,"Clinton"
20160102,20187,1553,"Trump"
20160102,12227,2106,"Clinton"
20160102,14796,1573,"Trump"
20160102,62824,681,"Trump"
20160102,4985,2259,"Clinton"
20160103,6988,1294,"Clinton"
20160103,21706,1553,"Trump"
20160103,12334,2106,"Clinton"
20160103,16174,1573,"Trump"
20160103,66305,681,"Trump"
20160103,5207,3047,"Clinton"
20160104,11733,2745,"Clinton"
20160104,7781,1294,"Clinton"
20160104,22933,1553,"Trump"
20160104,12424,2106,"Clinton"
20160104,17302,1573,"Trump"
20160104,69550,681,"Trump"
20160105,18317,1573,"Trump"
20160105,73435,681,"Trump"
20160105,11855,2745,"Clinton"
20160105,7966,1294,"Clinton"
20160105,24104,1553,"Trump"
20160105,12499,2106,"Clinton"
20160106,12671,2106,"Clinton"
20160106,19234,1573,"Trump"
20160106,76663,681,"Trump"
20160106,12197,2745,"Clinton"
20160106,8079,1294,"Clinton"
20160106,25954,1553,"Trump"
20160107,8200,1294,"Clinton"
20160107,27519,1553,"Trump"
20160107,12881,2106,"Clinton"
20160107,20491,1573,"Trump"
20160107,79866,681,"Trump"
20160107,12436,2745,"Clinton"
20160108,8323,1294,"Clinton"
20160108,29032,1553,"Trump"
20160108,13004,2106,"Clinton"
20160108,21815,1573,"Trump"
20160108,83404,681,"Trump"
20160108,12606,2745,"Clinton"
20160109,12759,2745,"Clinton"
20160109,8435,1294,"Clinton"
20160109,30374,1553,"Trump"
20160109,13131,2106,"Clinton"
20160109,22881,1573,"Trump"
20160109,86521,681,"Trump"
20160110,90052,681,"Trump"
20160110,12901,2745,"Clinton"
20160110,8557,1294,"Clinton"
20160110,31526,1553,"Trump"
20160110,13230,2106,"Clinton"
20160110,23931,1573,"Trump"
20160111,13338,2106,"Clinton"
20160111,25103,1573,"Trump"
20160111,93499,681,"Trump"
20160111,13216,2745,"Clinton"
20160111,8672,1294,"Clinton"
20160111,32747,1553,"Trump"
20160112,34716,2322,"Clinton"
20160112,34081,1553,"Trump"
20160112,13426,2106,"Clinton"
20160112,26317,1573,"Trump"
20160112,97028,681,"Trump"
20160112,13413,2745,"Clinton"
20160113,35126,2322,"Clinton"
